PORTADOR_ID;CODIGO;DESCRICAO;WEBSITE
1;204;American Express Bank Brasil Banco Múltiplo S.A.;http://www.iamex.com.br
2;246;Banco ABC Brasil S.A.;http://www.abcbrasil.com.br
3;356;Banco ABN AMRO Real S.A.;http://www.abnamro.com.br
4;25;Banco Alfa S.A.;http://www.bancoalfa.com.br
5;641;Banco Alvorada S.A.;
6;28;Banco Baneb S.A.;http://www.baneb.com.br
7;29;Banco Banerj S.A.;http://www.banerj.com.br
8;38;Banco Banestado S.A.;http://www.banestado.com.br
9;719;Banco Banif Primus S.A.;http://www.banifprimus.com.br
10;740;Banco Barclays S.A.;http://www.barclays.com
11;107;Banco BBM S.A.;http://www.bbmbank.com.br
12;31;Banco Beg S.A.;http://www.itau.com.br
13;36;Banco Bem S.A.;http://www.bemnet.com.br
14;48;Banco Bemge S.A.;http://www.itau.com.br
15;394;Banco BMC S.A.;http://www.bmc.com.br
16;318;Banco BMG S.A.;http://www.bancobmg.com.br
17;116;Banco BNL do Brasil S.A.;http://www.bnl.com.br
18;752;Banco BNP Paribas Brasil S.A.;http://www.bnpparibas.com.br
19;248;Banco Boavista Interatlântico S.A.;
20;237;BANCO BRADESCO S.A.;http://www.bradesco.com.br
21;225;Banco Brascan S.A.;http://www.bancobrascan.com.br
22;263;Banco Cacique S.A.;http://www.bancocacique.com
23;222;Banco Calyon Brasil S.A.;http://www.creditlyonnais.com.br
24;40;Banco Cargill S.A.;
25;745;Banco Citibank S.A.;http://www.citibank.com/brasil
26;215;Banco Comercial e de Investimento Sudameris S.A.;http://www.sudameris.com.br
27;756;Banco Cooperativo do Brasil S.A. - BANCOOB;http://www.bancoob.com.br
28;748;Banco Cooperativo Sicredi S.A. - BANSICREDI;http://www.bansicredi.com.br
29;505;Banco Credit Suisse First Boston S.A.;http://www.csfb.com
30;229;Banco Cruzeiro do Sul S.A.;http://www.bcsul.com.br
31;3;Banco da Amazônia S.A.;http://www.bancoamazonia.com.br
32;707;Banco Daycoval S.A.;http://www.daycoval.com.br
33;240;Banco de Crédito Real de Minas Gerais S.A.;
34;M43;Banco de Lage Landen Financial Services Brasil S.A.;http://www.delagelanden.com
35;24;Banco de Pernambuco S.A. - BANDEPE;http://www.bandepe.com.br
36;456;Banco de Tokyo-Mitsubishi Brasil S.A.;http://www.btm.com.br
37;214;Banco Dibens S.A.;http://www.bancodibens.com.br
38;1;Banco do Brasil S.A.;http://www.bb.com.br
